Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,50.970001,51.230000,50.570000,50.709999,49.526958,10911700
2020-09-15,51.000000,51.380001,50.840000,51.049999,49.859024,12838400
2020-09-16,50.950001,51.450001,50.740002,50.790001,49.605087,15353900
2020-09-17,50.220001,50.630001,49.939999,50.549999,49.370689,13287100
2020-09-18,50.750000,51.160000,50.209999,50.450001,49.273022,23816600
2020-09-21,49.750000,50.020000,48.610001,49.090000,47.944752,17514800
2020-09-22,49.110001,50.040001,49.070000,49.660000,48.501453,13034600
2020-09-23,49.730000,49.919998,48.169998,48.209999,47.085278,17121200
2020-09-24,48.209999,49.099998,47.560001,48.700001,47.563850,16788100
2020-09-25,48.200001,48.759998,47.980000,48.720001,47.583385,12603400
2020-09-28,49.310001,49.709999,49.139999,49.279999,48.130314,11215700
2020-09-29,49.389999,49.560001,48.910000,48.919998,47.778717,12426600
2020-09-30,49.270000,49.619999,48.889999,49.369999,48.218216,15755900
2020-10-01,49.439999,49.660000,48.590000,49.180000,48.032650,17577300
2020-10-02,48.759998,49.580002,48.549999,49.360001,48.208454,13610100
2020-10-05,49.430000,49.549999,49.119999,49.380001,48.227985,10628700
2020-10-06,49.549999,49.730000,48.830002,48.939999,47.798248,10077400
2020-10-07,49.020000,49.759998,48.950001,49.560001,48.403786,10135600
2020-10-08,49.709999,50.540001,49.540001,50.459999,49.282791,12143900
2020-10-09,50.669998,51.230000,50.599998,50.810001,49.624626,11407800
2020-10-12,50.840000,51.529999,50.830002,51.090000,49.898087,11386500
2020-10-13,50.990002,50.990002,49.900002,50.220001,49.048389,14365300
2020-10-14,50.049999,50.490002,49.650002,50.119999,48.950718,10582100
2020-10-15,49.400002,50.130001,49.299999,49.990002,48.823757,9961700
2020-10-16,49.990002,50.349998,49.869999,50.029999,48.862816,13569800
2020-10-19,50.029999,50.480000,49.459999,49.619999,48.462383,9930400
2020-10-20,49.889999,50.619999,49.790001,50.250000,49.077686,10970700
2020-10-21,49.959999,50.430000,49.770000,49.990002,48.823757,12517400
2020-10-22,51.169998,51.200001,50.380001,50.680000,49.497654,20189200
2020-10-23,51.000000,51.180000,50.470001,50.520000,49.341389,13491300
2020-10-26,50.340000,50.509998,49.200001,49.799999,48.638187,14696400
2020-10-27,49.810001,50.290001,49.549999,49.900002,48.735851,13892100
2020-10-28,49.000000,49.150002,47.779999,47.959999,46.841110,19886200
2020-10-29,47.730000,48.480000,47.299999,48.020000,46.899712,15369900
2020-10-30,47.810001,48.119999,47.369999,48.060001,46.938782,15804000
2020-11-02,48.750000,48.950001,48.240002,48.619999,47.485714,15156100
2020-11-03,49.220001,49.959999,49.000000,49.349998,48.198681,15285100
2020-11-04,49.430000,50.209999,49.080002,49.169998,48.022881,12930800
2020-11-05,49.759998,50.209999,49.340000,49.439999,48.286587,12452400
2020-11-06,49.650002,49.990002,49.250000,49.450001,48.296352,9294900
2020-11-09,52.500000,53.259998,52.070000,52.570000,51.343563,33442000
2020-11-10,52.570000,54.279999,52.450001,53.980000,52.720665,29706700
2020-11-11,53.930000,54.299999,53.330002,53.580002,52.330002,17399900
2020-11-12,53.049999,53.209999,52.610001,53.009998,51.773296,15024400
2020-11-13,53.250000,53.500000,52.889999,53.450001,52.203033,12447900
2020-11-16,54.500000,54.619999,53.279999,53.849998,52.593700,14908200
2020-11-17,53.660000,53.750000,53.029999,53.680000,52.427670,14248400
2020-11-18,53.750000,54.020000,52.560001,52.610001,51.382629,15278200
2020-11-19,52.490002,53.230000,51.950001,53.130001,51.890499,17189500
2020-11-20,53.189999,53.250000,52.590000,52.669998,51.441227,15645600
2020-11-23,52.950001,53.169998,52.200001,52.680000,51.450996,13191900
2020-11-24,53.139999,53.590000,53.020000,53.220001,51.978397,13827600
2020-11-25,53.070000,53.279999,52.790001,52.930000,51.695168,10194800
2020-11-27,53.110001,53.189999,52.610001,52.700001,51.470528,8499300
2020-11-30,52.090000,52.189999,51.080002,51.599998,50.791344,43203600
2020-12-01,52.139999,52.330002,51.790001,52.040001,51.224453,18968800
2020-12-02,51.900002,52.130001,51.639999,52.110001,51.293350,14913100
2020-12-03,51.900002,52.939999,51.900002,52.779999,51.952850,17318900
2020-12-04,52.779999,53.869999,52.759998,53.849998,53.006081,18122400
2020-12-07,53.759998,53.779999,52.700001,52.990002,52.159561,16210900
2020-12-08,52.939999,53.480000,52.790001,53.180000,52.346584,12485800
2020-12-09,53.369999,53.599998,53.000000,53.330002,52.494232,11508400
2020-12-10,53.400002,53.509998,52.980000,53.049999,52.218620,12097300
2020-12-11,52.799999,53.540001,52.779999,53.349998,52.513920,10638100
2020-12-14,53.650002,53.840000,53.180000,53.270000,52.435173,22292000
2020-12-15,53.790001,54.220001,53.599998,53.840000,52.996239,16193700
2020-12-16,53.599998,53.799999,52.939999,53.060001,52.228462,15679600
2020-12-17,53.299999,53.709999,53.150002,53.270000,52.435173,12677300
2020-12-18,53.080002,53.840000,52.619999,53.740002,52.897808,35480100
2020-12-21,52.680000,53.000000,51.980000,52.810001,51.982380,14926600
2020-12-22,52.810001,53.180000,52.389999,52.759998,51.933163,9689500
2020-12-23,52.950001,53.389999,52.939999,53.080002,52.248150,7040300
2020-12-24,53.020000,53.549999,53.020000,53.439999,52.602509,3265500
2020-12-28,53.849998,54.439999,53.730000,54.160000,53.311226,9020500
2020-12-29,54.450001,54.490002,54.020000,54.130001,53.281696,8320600
2020-12-30,54.049999,54.630001,54.029999,54.439999,53.586834,8142700
2020-12-31,54.450001,54.930000,54.270000,54.840000,53.980572,8495000
2021-01-04,54.270000,54.630001,52.029999,52.759998,51.933163,25611100
2021-01-05,52.330002,52.619999,52.029999,52.180000,51.362255,20323800
2021-01-06,51.970001,52.020000,50.189999,50.520000,49.728271,38724500
2021-01-07,50.090000,50.259998,49.520000,49.959999,49.177044,53225700
2021-01-08,50.029999,51.130001,49.840000,51.080002,50.279495,29674000
2021-01-11,50.619999,50.860001,49.950001,50.200001,49.413284,19304400
2021-01-12,50.040001,50.369999,49.759998,50.110001,49.324696,18538700
2021-01-13,49.980000,50.360001,49.950001,50.160000,49.373913,18864100
2021-01-14,50.160000,50.180000,49.220001,49.230000,48.458485,34303600
2021-01-15,49.160000,49.180000,48.529999,48.700001,47.936794,24366800
2021-01-19,48.740002,49.040001,48.240002,48.509998,47.749767,29114500
2021-01-20,48.540001,48.820000,48.310001,48.680000,47.917103,23115800
2021-01-21,48.779999,49.090000,48.459999,48.950001,48.182873,19702500
2021-01-22,48.810001,48.939999,48.490002,48.490002,47.730083,15400300
2021-01-25,48.419998,48.840000,48.240002,48.779999,48.015537,16604200
2021-01-26,48.910000,49.400002,48.610001,49.290001,48.517544,12922600
2021-01-27,48.889999,49.320000,48.230000,48.529999,47.769455,21242400
2021-01-28,48.689999,49.500000,48.610001,49.150002,48.379742,17498900
2021-01-29,49.029999,49.119999,48.110001,48.150002,47.395412,18670300
2021-02-01,48.270000,48.689999,48.180000,48.480000,47.720238,12183600
2021-02-02,48.799999,49.349998,48.630001,48.959999,48.192715,13319800
2021-02-03,48.950001,49.090000,48.669998,48.770000,48.005695,12274100
2021-02-04,48.959999,49.070000,48.650002,49.009998,48.241932,20597400
2021-02-05,49.500000,49.779999,49.270000,49.650002,48.871902,12742000
2021-02-08,49.959999,50.169998,49.490002,49.919998,49.137669,17833200
2021-02-09,49.849998,50.020000,49.630001,49.700001,48.921120,14592900
2021-02-10,50.410000,50.580002,49.529999,49.599998,48.822685,22965400
2021-02-11,49.810001,50.590000,49.799999,50.299999,49.511719,21928600
2021-02-12,50.570000,50.849998,50.389999,50.689999,49.895603,13137100
2021-02-16,50.619999,50.720001,50.160000,50.270000,49.482189,15093400
2021-02-17,50.000000,50.490002,49.889999,50.130001,49.344383,12794300
2021-02-18,50.160000,50.849998,50.029999,50.770000,49.974354,12747100
2021-02-19,50.790001,50.830002,49.970001,50.110001,49.324696,15968800
2021-02-22,49.849998,50.880001,49.669998,50.630001,49.836548,14370900
2021-02-23,51.000000,51.509998,50.419998,50.540001,49.747955,16222300
2021-02-24,50.389999,50.900002,50.130001,50.709999,49.915291,14442000
2021-02-25,50.470001,50.750000,49.980000,50.169998,49.383751,14211100
2021-02-26,50.200001,50.209999,48.970001,48.990002,48.222248,23638400
2021-03-01,49.439999,50.439999,49.400002,49.900002,49.117985,13901200
2021-03-02,49.840000,50.560001,49.700001,50.099998,49.314854,11755100
2021-03-03,49.720001,50.560001,49.709999,49.980000,49.196732,15410700
2021-03-04,50.310001,51.090000,49.619999,49.939999,49.157360,22036400
2021-03-05,50.049999,50.950001,49.900002,50.790001,49.994038,21310800
2021-03-08,51.470001,52.490002,51.160000,51.639999,50.830715,25084900
2021-03-09,51.720001,51.880001,50.820000,50.860001,50.062943,23082700
2021-03-10,51.180000,51.630001,50.720001,51.439999,50.633850,21331600
2021-03-11,51.410000,51.430000,50.810001,50.880001,50.082630,17417700
2021-03-12,50.590000,50.680000,50.200001,50.360001,49.983376,17598600
2021-03-15,50.500000,51.119999,50.470001,51.029999,50.648361,13411900
2021-03-16,51.200001,51.520000,51.040001,51.220001,50.836945,14214200
2021-03-17,51.250000,51.619999,51.150002,51.240002,50.856796,17502700
2021-03-18,51.060001,51.189999,50.490002,50.570000,50.191803,18007300
2021-03-19,50.459999,51.080002,50.169998,50.810001,50.430012,67845700
2021-03-22,50.320000,51.080002,50.320000,51.000000,50.618587,17911400
2021-03-23,50.990002,51.650002,50.830002,51.389999,51.005672,16936700
2021-03-24,51.169998,51.889999,51.150002,51.520000,51.134701,14997400
2021-03-25,51.700001,52.060001,51.169998,52.020000,51.630962,17091900
2021-03-26,52.139999,53.110001,51.759998,53.040001,52.643333,17126700
2021-03-29,52.730000,53.939999,52.709999,53.849998,53.447273,17514100
2021-03-30,53.750000,53.790001,52.930000,53.150002,52.752510,14871800
2021-03-31,53.029999,53.169998,52.500000,52.709999,52.315800,15826500
2021-04-01,52.959999,53.150002,52.459999,52.509998,52.117294,15834700
2021-04-05,52.349998,53.220001,52.290001,52.810001,52.415054,16368700
2021-04-06,53.040001,53.650002,52.900002,53.189999,52.792210,15614300
2021-04-07,53.279999,53.500000,53.119999,53.279999,52.881535,10062700
2021-04-08,53.169998,53.380001,52.970001,53.119999,52.722733,9695600
2021-04-09,53.169998,53.279999,52.810001,53.180000,52.782284,10828200
2021-04-12,53.330002,53.549999,53.099998,53.349998,52.951012,8565300
2021-04-13,53.040001,53.290001,52.810001,53.090000,52.692959,11071700
2021-04-14,52.980000,53.189999,52.650002,53.080002,52.683033,9787600
2021-04-15,53.130001,53.660000,53.119999,53.330002,52.931164,13078100
2021-04-16,53.740002,53.799999,53.380001,53.680000,53.278545,17974100
2021-04-19,54.000000,54.360001,53.299999,54.000000,53.596153,19352900
2021-04-20,53.840000,54.590000,53.810001,54.169998,53.764881,14419200
2021-04-21,54.240002,54.740002,54.240002,54.610001,54.201591,13866500
2021-04-22,54.470001,54.869999,54.320000,54.439999,54.032860,12558900
2021-04-23,54.400002,54.590000,54.169998,54.470001,54.062637,9020500
2021-04-26,54.470001,54.509998,53.580002,53.660000,53.258694,11684600
2021-04-27,53.560001,53.700001,53.320000,53.580002,53.179295,9852400
2021-04-28,53.980000,54.049999,53.439999,53.590000,53.189220,10868100
2021-04-29,53.540001,54.360001,53.430000,54.259998,53.854206,15391000
2021-04-30,54.250000,54.270000,53.689999,53.980000,53.576302,14912600
2021-05-03,54.270000,54.799999,54.160000,54.480000,54.072563,10417900
2021-05-04,54.570000,54.619999,53.939999,54.139999,53.735104,14151000
2021-05-05,54.139999,54.240002,53.709999,54.000000,53.596153,9665900
2021-05-06,54.119999,54.610001,54.049999,54.540001,54.132114,11572700
2021-05-07,54.439999,54.770000,54.160000,54.509998,54.102337,10637500
2021-05-10,54.880001,55.500000,54.830002,54.910000,54.499348,15545800
2021-05-11,55.029999,55.139999,54.049999,54.320000,53.913757,12986700
2021-05-12,54.360001,54.560001,53.880001,54.040001,53.635853,15836500
2021-05-13,53.970001,54.779999,53.830002,54.509998,54.102337,15475800
2021-05-14,54.900002,55.099998,54.689999,54.730000,54.320694,11725300
2021-05-17,54.840000,55.020000,54.500000,54.639999,54.231365,12119800
2021-05-18,54.389999,54.560001,54.099998,54.340000,53.933609,13232500
2021-05-19,54.119999,54.180000,53.610001,54.169998,53.764881,15126100
2021-05-20,54.119999,54.799999,54.119999,54.650002,54.241295,10948400
2021-05-21,54.799999,55.119999,54.220001,54.619999,54.211514,16033200
2021-05-24,54.630001,54.930000,54.490002,54.799999,54.390167,10326100
2021-05-25,54.820000,54.820000,54.349998,54.790001,54.380245,11916500
2021-05-26,54.980000,55.049999,54.590000,55.029999,54.618450,16064300
2021-05-27,55.209999,55.570000,54.779999,55.490002,55.075012,59109600
2021-05-28,55.349998,55.709999,55.200001,55.290001,54.876507,17011600
2021-06-01,55.340000,55.650002,55.099998,55.279999,54.866577,13304000
2021-06-02,55.500000,55.560001,55.259998,55.500000,55.084934,11328500
2021-06-03,55.180000,55.740002,55.099998,55.639999,55.223888,17364300
2021-06-04,55.900002,56.480000,55.779999,56.240002,55.819401,18935100
