Date,KO,PEP
5/10/2021,54.499348,144.664307
5/11/2021,53.913757,143.609283
5/12/2021,53.635853,142.209183
5/13/2021,54.102337,144.319199
5/14/2021,54.320694,144.536102
5/17/2021,54.231365,144.121994
5/18/2021,53.933609,143.471252
5/19/2021,53.764881,143.392365
5/20/2021,54.241295,145.167145
5/21/2021,54.211514,145.038986
5/24/2021,54.390167,145.778458
5/25/2021,54.380245,146.222168
5/26/2021,54.61845,146.222168
5/27/2021,55.075012,144.45723
5/28/2021,54.876507,145.867218
6/1/2021,54.866577,145.561554
6/2/2021,55.084934,146.14328
6/3/2021,55.223888,146.664703
6/4/2021,55.819401,146.833542
6/7/2021,55.620895,146.744171
6/8/2021,55.233814,145.37355
6/9/2021,55.065083,145.105408
6/10/2021,55.491867,146.595184
6/11/2021,55.739998,146.68457
6/14/2021,55.549999,147.558594
6/15/2021,55.41,147.568512
6/16/2021,54.669998,146.098602
6/17/2021,54.950001,147.508926
6/18/2021,53.77,144.430023
6/21/2021,54.360001,145.562256
6/22/2021,54.560001,145.780762
6/23/2021,54.119999,143.863907
6/24/2021,54.389999,144.678329
6/25/2021,54.32,145.413284
6/28/2021,54.259998,146.038986
6/29/2021,53.860001,145.939682
6/30/2021,54.110001,147.161301
7/1/2021,53.959999,147.191101
7/2/2021,54.18,147.896271
7/6/2021,53.880001,148.114777
7/7/2021,54.32,148.770264
7/8/2021,54.130001,148.839798
7/9/2021,54.459999,148.462387
7/12/2021,54.48,148.492172
7/13/2021,55.02,151.918701
7/14/2021,56.259998,153.48793
7/15/2021,56.439999,154.1931
7/16/2021,56.400002,154.759232
7/19/2021,55.73,154.739365
7/20/2021,55.830002,154.759232
7/21/2021,56.549999,154.183182
7/22/2021,56.470001,154.133514
7/23/2021,57.009998,156.109955
7/26/2021,57.060001,156.000717
7/27/2021,57.259998,156.864792
7/28/2021,56.740002,155.424667
7/29/2021,57.049999,155.742477
7/30/2021,57.029999,155.881531
8/2/2021,56.880001,155.255829
8/3/2021,56.919998,155.603439
8/4/2021,56.099998,153.001282
8/5/2021,56.5,153.259506
8/6/2021,56.639999,153.279373
8/9/2021,56.650002,153.29924
8/10/2021,56.799999,153.378677
8/11/2021,56.73,153.984528
8/12/2021,56.84,154.014343
8/13/2021,57.23,155.454468
8/16/2021,57.48,156.974045
8/17/2021,57.279999,156.825058
8/18/2021,56.5,155.216095
8/19/2021,56.860001,157.828201
8/20/2021,56.639999,157.272003
8/23/2021,56.439999,156.775406
8/24/2021,56.009998,154.828751
8/25/2021,56.07,154.143448
8/26/2021,55.540001,153.577332
8/27/2021,55.650002,153.885223
8/30/2021,56.18,154.938004
8/31/2021,56.310001,155.325348
9/1/2021,56.689999,156.835007
9/2/2021,56.77,156.949997
9/3/2021,56.73,157.089996
9/7/2021,55.669998,154.529999
9/8/2021,56.419998,156.720001
9/9/2021,55.860001,155.729996
9/10/2021,55.610001,155.460007
